"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
249,http://www.wikidata.org/entity/Q1037368,,NA,NA,NA,NA,NA,249,
250,http://www.wikidata.org/entity/Q10374688,,writer,NA,sociology,philosophy,opinion-journalism,250,
251,http://www.wikidata.org/entity/Q103747299,,university-teacher,NA,sociology,criminology,NA,251,
252,http://www.wikidata.org/entity/Q10376097,,NA,NA,NA,NA,NA,252,
253,http://www.wikidata.org/entity/Q103769532,,journalist,NA,sociology,history,journalism,253,
254,http://www.wikidata.org/entity/Q103810213,,NA,NA,NA,NA,NA,254,
255,http://www.wikidata.org/entity/Q103820262,,cultural-studies-scholar,NA,sociology,gender-studies,gender,255,
256,http://www.wikidata.org/entity/Q103822077,,politician,NA,NA,NA,NA,256,
257,http://www.wikidata.org/entity/Q103843026,,university-teacher,NA,sociology,economics,rural-sociology,257,
258,http://www.wikidata.org/entity/Q103847114,,NA,NA,NA,NA,NA,258,
259,http://www.wikidata.org/entity/Q103848873,,university-teacher,NA,NA,NA,NA,259,
260,http://www.wikidata.org/entity/Q10385450,,writer,NA,NA,NA,NA,260,
261,http://www.wikidata.org/entity/Q10389184,,actor,NA,NA,NA,NA,261,
262,http://www.wikidata.org/entity/Q10390357,,writer,NA,NA,NA,NA,262,
263,http://www.wikidata.org/entity/Q103916589,,NA,NA,NA,NA,NA,263,
264,http://www.wikidata.org/entity/Q10391661,,teacher,NA,NA,NA,NA,264,
265,http://www.wikidata.org/entity/Q10391749,,psychoanalyst,NA,NA,NA,NA,265,
266,http://www.wikidata.org/entity/Q103921809,,translator,NA,NA,NA,NA,266,
267,http://www.wikidata.org/entity/Q10393022,,literary-critic,NA,NA,NA,NA,267,
268,http://www.wikidata.org/entity/Q10396371,,editor,NA,NA,NA,NA,268,
269,http://www.wikidata.org/entity/Q1039705,,university-teacher,NA,sociology-of-religion,NA,NA,269,
270,http://www.wikidata.org/entity/Q1039736,,university-teacher,NA,socialism,christian-socialism,NA,270,
271,http://www.wikidata.org/entity/Q104012554,,NA,NA,NA,NA,NA,271,
272,http://www.wikidata.org/entity/Q104012899,,NA,NA,NA,NA,NA,272,
273,http://www.wikidata.org/entity/Q104013,,university-teacher,NA,NA,NA,NA,273,
274,http://www.wikidata.org/entity/Q104042501,,researcher,NA,NA,NA,NA,274,
275,http://www.wikidata.org/entity/Q104052848,,university-teacher,NA,NA,NA,NA,275,
276,http://www.wikidata.org/entity/Q104053997,,politician,NA,NA,NA,NA,276,
277,http://www.wikidata.org/entity/Q104056585,,historian,NA,NA,NA,NA,277,
