"pk_person_features","person_uri","occupation_sec1","coded_employer"
591,http://www.wikidata.org/entity/Q106594470,professor,education
592,http://www.wikidata.org/entity/Q106595571,university-teacher,organization
593,http://www.wikidata.org/entity/Q106595572,university-teacher,university
594,http://www.wikidata.org/entity/Q1065979,university-teacher,education
596,http://www.wikidata.org/entity/Q106603629,university-teacher,university
603,http://www.wikidata.org/entity/Q106615408,university-teacher,education
604,http://www.wikidata.org/entity/Q106615819,university-teacher,education
608,http://www.wikidata.org/entity/Q106629777,university-teacher,education
611,http://www.wikidata.org/entity/Q106638409,university-teacher,academy
612,http://www.wikidata.org/entity/Q106638442,university-teacher,academy
615,http://www.wikidata.org/entity/Q106641226,university-teacher,publisher
616,http://www.wikidata.org/entity/Q106642011,university-teacher,institute
622,http://www.wikidata.org/entity/Q106690802,urban-sociologist,education
625,http://www.wikidata.org/entity/Q106698071,university-teacher,publisher
628,http://www.wikidata.org/entity/Q106726964,university-teacher,education
632,http://www.wikidata.org/entity/Q106803116,university-teacher,publisher
633,http://www.wikidata.org/entity/Q106804830,university-teacher,publisher
634,http://www.wikidata.org/entity/Q106832794,political-scientist,education
637,http://www.wikidata.org/entity/Q106854777,editing-staff,institute
638,http://www.wikidata.org/entity/Q106862463,university-teacher,education
639,http://www.wikidata.org/entity/Q106878850,university-teacher,education
642,http://www.wikidata.org/entity/Q106908284,university-teacher,education
643,http://www.wikidata.org/entity/Q106917258,university-teacher,education
644,http://www.wikidata.org/entity/Q106917391,university-teacher,education
645,http://www.wikidata.org/entity/Q106917577,university-teacher,education
649,http://www.wikidata.org/entity/Q106962378,politician,publisher
652,http://www.wikidata.org/entity/Q106983084,researcher,publisher
653,http://www.wikidata.org/entity/Q106983087,researcher,publisher
657,http://www.wikidata.org/entity/Q106983239,university-teacher,publisher
661,http://www.wikidata.org/entity/Q106983420,researcher,publisher
664,http://www.wikidata.org/entity/Q106985136,researcher,education
669,http://www.wikidata.org/entity/Q107023099,university-teacher,organization
672,http://www.wikidata.org/entity/Q107046443,university-teacher,education
680,http://www.wikidata.org/entity/Q107139894,university-teacher,university
681,http://www.wikidata.org/entity/Q107140732,university-teacher,publisher
683,http://www.wikidata.org/entity/Q107156072,university-teacher,education
689,http://www.wikidata.org/entity/Q107178398,university-teacher,publisher
691,http://www.wikidata.org/entity/Q107193,university-teacher,university
694,http://www.wikidata.org/entity/Q107205572,university-teacher,education
695,http://www.wikidata.org/entity/Q107205673,university-teacher,education
698,http://www.wikidata.org/entity/Q107212764,university-teacher,education
699,http://www.wikidata.org/entity/Q107214581,research-fellow,university
701,http://www.wikidata.org/entity/Q107254030,writer,organization
702,http://www.wikidata.org/entity/Q107266198,university-teacher,institute
706,http://www.wikidata.org/entity/Q107274830,university-teacher,publisher
711,http://www.wikidata.org/entity/Q107313095,university-teacher,publisher
712,http://www.wikidata.org/entity/Q107315601,university-teacher,publisher
714,http://www.wikidata.org/entity/Q107322291,university-teacher,publisher
719,http://www.wikidata.org/entity/Q107345893,university-teacher,university
722,http://www.wikidata.org/entity/Q107361617,writer,organization
723,http://www.wikidata.org/entity/Q107363501,university-teacher,education
724,http://www.wikidata.org/entity/Q107363774,historian,publisher
727,http://www.wikidata.org/entity/Q107390502,anthropologist,university
729,http://www.wikidata.org/entity/Q107420041,university-teacher,publisher
730,http://www.wikidata.org/entity/Q107436597,university-teacher,institute
732,http://www.wikidata.org/entity/Q107456671,university-teacher,publisher
735,http://www.wikidata.org/entity/Q1074700,anthropologist,education
736,http://www.wikidata.org/entity/Q107488163,university-teacher,education
737,http://www.wikidata.org/entity/Q107488382,psychologist,organization
739,http://www.wikidata.org/entity/Q107506,philologist,education
744,http://www.wikidata.org/entity/Q107600785,university-teacher,publisher
745,http://www.wikidata.org/entity/Q107601,university-teacher,publisher
746,http://www.wikidata.org/entity/Q107609253,university-teacher,publisher
748,http://www.wikidata.org/entity/Q107621696,university-teacher,education
751,http://www.wikidata.org/entity/Q107637412,university-teacher,education
761,http://www.wikidata.org/entity/Q107710430,politician,publisher
762,http://www.wikidata.org/entity/Q107745,university-teacher,university
765,http://www.wikidata.org/entity/Q107804869,university-teacher,publisher
769,http://www.wikidata.org/entity/Q1078177,university-teacher,agency
770,http://www.wikidata.org/entity/Q107839762,political-scientist,education
773,http://www.wikidata.org/entity/Q107888,university-teacher,publisher
774,http://www.wikidata.org/entity/Q107959168,university-teacher,university
775,http://www.wikidata.org/entity/Q107975979,political-scientist,education
788,http://www.wikidata.org/entity/Q108109965,social-activist,publisher
795,http://www.wikidata.org/entity/Q1081464,university-teacher,institute
796,http://www.wikidata.org/entity/Q108150830,academic,publisher
799,http://www.wikidata.org/entity/Q1081918,university-teacher,agency
801,http://www.wikidata.org/entity/Q1081982,university-teacher,agency
803,http://www.wikidata.org/entity/Q108223648,docent,university
805,http://www.wikidata.org/entity/Q108257724,director,enterprise
808,http://www.wikidata.org/entity/Q108293926,ethnologist,institute
811,http://www.wikidata.org/entity/Q108304928,author,education
823,http://www.wikidata.org/entity/Q108392940,university-teacher,education
825,http://www.wikidata.org/entity/Q108409467,brussels-studies-scholar,education
826,http://www.wikidata.org/entity/Q108422701,university-teacher,education
829,http://www.wikidata.org/entity/Q108458344,biologist,institute
835,http://www.wikidata.org/entity/Q1085054,university-teacher,publisher
842,http://www.wikidata.org/entity/Q108543917,historian,organization
850,http://www.wikidata.org/entity/Q108575621,university-teacher,publisher
851,http://www.wikidata.org/entity/Q10857639,university-teacher,publisher
856,http://www.wikidata.org/entity/Q1085958,university-teacher,publisher
860,http://www.wikidata.org/entity/Q1086075,university-teacher,agency
865,http://www.wikidata.org/entity/Q108650066,university-teacher,university
867,http://www.wikidata.org/entity/Q108655457,economist,school
872,http://www.wikidata.org/entity/Q108678456,teacher,education
874,http://www.wikidata.org/entity/Q10868617,critic,university
875,http://www.wikidata.org/entity/Q1086920,university-teacher,education
878,http://www.wikidata.org/entity/Q108697520,university-teacher,education
884,http://www.wikidata.org/entity/Q10871584,politician,education
885,http://www.wikidata.org/entity/Q108731108,university-teacher,publisher
895,http://www.wikidata.org/entity/Q108783043,university-teacher,organization
896,http://www.wikidata.org/entity/Q108793844,scientist,publisher
899,http://www.wikidata.org/entity/Q108806228,university-teacher,publisher
901,http://www.wikidata.org/entity/Q108813115,university-teacher,organization
905,http://www.wikidata.org/entity/Q108824211,university-teacher,education
908,http://www.wikidata.org/entity/Q108833834,university-teacher,university
912,http://www.wikidata.org/entity/Q108865109,university-teacher,publisher
913,http://www.wikidata.org/entity/Q108865841,activist,publisher
916,http://www.wikidata.org/entity/Q108880349,university-teacher,education
917,http://www.wikidata.org/entity/Q108887876,writer,university
924,http://www.wikidata.org/entity/Q108910270,economist,education
928,http://www.wikidata.org/entity/Q108916199,historian,education
929,http://www.wikidata.org/entity/Q108921456,screenwriter,institution
930,http://www.wikidata.org/entity/Q108923180,researcher,publisher
931,http://www.wikidata.org/entity/Q108940,university-teacher,university
935,http://www.wikidata.org/entity/Q109032,university-teacher,agency
936,http://www.wikidata.org/entity/Q109041460,writer,publisher
937,http://www.wikidata.org/entity/Q109046046,researcher,publisher
938,http://www.wikidata.org/entity/Q109072663,university-teacher,publisher
939,http://www.wikidata.org/entity/Q109075246,university-teacher,publisher
942,http://www.wikidata.org/entity/Q109084533,university-teacher,publisher
943,http://www.wikidata.org/entity/Q109103478,university-teacher,publisher
948,http://www.wikidata.org/entity/Q109135514,university-teacher,publisher
949,http://www.wikidata.org/entity/Q10919536,anthropologist,university
951,http://www.wikidata.org/entity/Q109235495,anthropologist,education
952,http://www.wikidata.org/entity/Q109240943,writer,university
955,http://www.wikidata.org/entity/Q109258,university-teacher,university
963,http://www.wikidata.org/entity/Q109300558,university-teacher,publisher
964,http://www.wikidata.org/entity/Q109302050,university-teacher,other
965,http://www.wikidata.org/entity/Q109302281,scientist,education
968,http://www.wikidata.org/entity/Q109326561,university-teacher,publisher
971,http://www.wikidata.org/entity/Q109342010,writer,education
972,http://www.wikidata.org/entity/Q109346716,historian,publisher
973,http://www.wikidata.org/entity/Q109367467,university-teacher,education
974,http://www.wikidata.org/entity/Q109378294,university-teacher,university
975,http://www.wikidata.org/entity/Q109379226,university-teacher,education
978,http://www.wikidata.org/entity/Q109380917,university-teacher,education
980,http://www.wikidata.org/entity/Q109380941,university-teacher,education
981,http://www.wikidata.org/entity/Q109382122,economist,organization
983,http://www.wikidata.org/entity/Q10938576,environmentalist,publisher
984,http://www.wikidata.org/entity/Q109394,university-teacher,university
989,http://www.wikidata.org/entity/Q1094336,physician,education
992,http://www.wikidata.org/entity/Q109448490,university-teacher,organization
994,http://www.wikidata.org/entity/Q109459837,university-teacher,publisher
996,http://www.wikidata.org/entity/Q109466397,anthropologist,publisher
998,http://www.wikidata.org/entity/Q109486975,university-teacher,university
1007,http://www.wikidata.org/entity/Q109556038,sports-scientist,education
1008,http://www.wikidata.org/entity/Q109557890,university-teacher,education
1010,http://www.wikidata.org/entity/Q109557894,university-teacher,education
1011,http://www.wikidata.org/entity/Q109557896,university-teacher,education
1013,http://www.wikidata.org/entity/Q109557899,researcher,publisher
1014,http://www.wikidata.org/entity/Q109557900,university-teacher,publisher
1018,http://www.wikidata.org/entity/Q109557904,university-teacher,education
1022,http://www.wikidata.org/entity/Q109557908,university-teacher,education
1024,http://www.wikidata.org/entity/Q109557910,university-teacher,education
1025,http://www.wikidata.org/entity/Q109557912,university-teacher,education
1026,http://www.wikidata.org/entity/Q109557914,university-teacher,facility
1028,http://www.wikidata.org/entity/Q109557917,university-teacher,education
1029,http://www.wikidata.org/entity/Q109557919,anthropologist,institute
1030,http://www.wikidata.org/entity/Q109557921,university-teacher,publisher
1037,http://www.wikidata.org/entity/Q109611382,university-teacher,publisher
1039,http://www.wikidata.org/entity/Q109621969,university-teacher,publisher
1051,http://www.wikidata.org/entity/Q109680536,university-teacher,agency
1058,http://www.wikidata.org/entity/Q109725,university-teacher,publisher
1060,http://www.wikidata.org/entity/Q109729781,university-teacher,publisher
1061,http://www.wikidata.org/entity/Q1097394,university-teacher,education
1065,http://www.wikidata.org/entity/Q1097515,university-teacher,publisher
1093,http://www.wikidata.org/entity/Q1097925,university-teacher,university
1096,http://www.wikidata.org/entity/Q109805402,research-fellow,organization
1100,http://www.wikidata.org/entity/Q1098386,university-teacher,school
1102,http://www.wikidata.org/entity/Q109852863,university-teacher,institute
1108,http://www.wikidata.org/entity/Q109859734,university-teacher,university
1109,http://www.wikidata.org/entity/Q109863,university-teacher,publisher
1112,http://www.wikidata.org/entity/Q109876798,university-teacher,publisher
1116,http://www.wikidata.org/entity/Q1098861,university-teacher,agency
1124,http://www.wikidata.org/entity/Q109971,university-teacher,agency
1125,http://www.wikidata.org/entity/Q109971512,professor,education
1130,http://www.wikidata.org/entity/Q1099869,university-teacher,university
1133,http://www.wikidata.org/entity/Q110041156,university-teacher,institution
1140,http://www.wikidata.org/entity/Q110064655,university-teacher,publisher
1149,http://www.wikidata.org/entity/Q110127,university-teacher,education
1151,http://www.wikidata.org/entity/Q110168263,professor,institute
1158,http://www.wikidata.org/entity/Q110207166,professor,university
1160,http://www.wikidata.org/entity/Q110212649,essayist,education
1177,http://www.wikidata.org/entity/Q110249330,historian,GLAM
1178,http://www.wikidata.org/entity/Q110254832,university-teacher,education
1179,http://www.wikidata.org/entity/Q110260695,university-teacher,institute
1183,http://www.wikidata.org/entity/Q110306,university-teacher,university
1184,http://www.wikidata.org/entity/Q11031,university-teacher,publisher
1185,http://www.wikidata.org/entity/Q110310913,professor,education
1186,http://www.wikidata.org/entity/Q110324598,university-teacher,publisher
1188,http://www.wikidata.org/entity/Q1103678,anthropologist,education
1189,http://www.wikidata.org/entity/Q110367806,political-scientist,university
1191,http://www.wikidata.org/entity/Q110373015,university-teacher,education
1195,http://www.wikidata.org/entity/Q110405632,university-teacher,university
1205,http://www.wikidata.org/entity/Q110459212,historian,publisher
1211,http://www.wikidata.org/entity/Q110501164,research-fellow,university
1212,http://www.wikidata.org/entity/Q1105049,politician,publisher
1215,http://www.wikidata.org/entity/Q110515213,teacher,education
1217,http://www.wikidata.org/entity/Q110567678,anthropologist,education
1218,http://www.wikidata.org/entity/Q110567687,historian,education
1219,http://www.wikidata.org/entity/Q110572186,university-teacher,publisher
1223,http://www.wikidata.org/entity/Q110635423,university-teacher,publisher
1226,http://www.wikidata.org/entity/Q110640448,political-scientist,other
1227,http://www.wikidata.org/entity/Q110640518,university-teacher,university
1229,http://www.wikidata.org/entity/Q1106507,university-teacher,university
1230,http://www.wikidata.org/entity/Q110653667,geographer,publisher
1231,http://www.wikidata.org/entity/Q110657547,photographer,publisher
1232,http://www.wikidata.org/entity/Q11066247,university-teacher,publisher
1234,http://www.wikidata.org/entity/Q110670122,university-teacher,education
1235,http://www.wikidata.org/entity/Q110670137,university-teacher,education
1237,http://www.wikidata.org/entity/Q1106778,writer,institute
1241,http://www.wikidata.org/entity/Q110694711,university-teacher,university
1243,http://www.wikidata.org/entity/Q110698602,university-teacher,agency
1244,http://www.wikidata.org/entity/Q11070768,politician,publisher
1246,http://www.wikidata.org/entity/Q110713971,political-scientist,education
1248,http://www.wikidata.org/entity/Q110726089,university-teacher,university
1253,http://www.wikidata.org/entity/Q110748290,university-teacher,organization
1256,http://www.wikidata.org/entity/Q110752987,university-teacher,publisher
1258,http://www.wikidata.org/entity/Q110771869,university-teacher,education
1259,http://www.wikidata.org/entity/Q110775763,anthropologist,enterprise
1260,http://www.wikidata.org/entity/Q110776102,writer,publisher
1261,http://www.wikidata.org/entity/Q110805471,university-teacher,university
1262,http://www.wikidata.org/entity/Q110808818,university-teacher,education
1268,http://www.wikidata.org/entity/Q110835244,political-scientist,publisher
1271,http://www.wikidata.org/entity/Q110875794,university-teacher,education
1278,http://www.wikidata.org/entity/Q110928605,university-teacher,university
1280,http://www.wikidata.org/entity/Q110940159,university-teacher,organization
1281,http://www.wikidata.org/entity/Q110946294,university-teacher,education
1282,http://www.wikidata.org/entity/Q110946297,university-teacher,education
1286,http://www.wikidata.org/entity/Q110961791,university-teacher,other
1287,http://www.wikidata.org/entity/Q110965654,researcher,publisher
1288,http://www.wikidata.org/entity/Q110965919,university-teacher,education
1291,http://www.wikidata.org/entity/Q110993808,writer,education
1293,http://www.wikidata.org/entity/Q110996168,research-fellow,publisher
1295,http://www.wikidata.org/entity/Q11100532,anthropologist,university
1297,http://www.wikidata.org/entity/Q111009969,university-teacher,university
1299,http://www.wikidata.org/entity/Q111016751,university-teacher,education
1313,http://www.wikidata.org/entity/Q111028830,university-teacher,education
1315,http://www.wikidata.org/entity/Q111030365,pollster,enterprise
1317,http://www.wikidata.org/entity/Q11103183,writer,education
1318,http://www.wikidata.org/entity/Q111033141,university-teacher,education
1320,http://www.wikidata.org/entity/Q111046508,university-teacher,publisher
1324,http://www.wikidata.org/entity/Q111077236,university-teacher,education
1325,http://www.wikidata.org/entity/Q111077249,university-teacher,education
1326,http://www.wikidata.org/entity/Q111079992,university-teacher,university
1327,http://www.wikidata.org/entity/Q111082679,university-teacher,publisher
1331,http://www.wikidata.org/entity/Q1111269,university-teacher,publisher
1332,http://www.wikidata.org/entity/Q111127041,university-teacher,publisher
1334,http://www.wikidata.org/entity/Q111149268,university-teacher,publisher
1337,http://www.wikidata.org/entity/Q111155294,political-scientist,publisher
1340,http://www.wikidata.org/entity/Q111182801,researcher,publisher
1342,http://www.wikidata.org/entity/Q1111892,statistician,education
1350,http://www.wikidata.org/entity/Q111262321,university-teacher,university
1354,http://www.wikidata.org/entity/Q111273257,university-teacher,organization
1358,http://www.wikidata.org/entity/Q111297738,philosopher,university
1362,http://www.wikidata.org/entity/Q111306754,university-teacher,education
1365,http://www.wikidata.org/entity/Q111313644,economist,institute
