person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_sec1,coded_employer
http://www.wikidata.org/entity/Q1263139,Erich Weede,1942,male,Hildesheim,POINT (9.95 52.15),Western Europe,Germany,Germany,1971-1995,7083,university-teacher,publisher
http://www.wikidata.org/entity/Q3123783,Gérard Bouchard,1943,male,Jonquière,POINT (-71.25 48.416667),Northern America,Canada,United States Can.,1971-1995,11980,university-teacher,publisher
http://www.wikidata.org/entity/Q1261657,Alois Hahn,1941,male,Salzkotten,POINT (8.604722 51.670833),Western Europe,Germany,Germany,1971-1995,7072,university-teacher,university
http://www.wikidata.org/entity/Q3148612,Ilana Löwy,1948,female,Poland,POINT (19 52),Eastern Europe,Poland,Poland,1971-1995,12018,anthropologist,institute
http://www.wikidata.org/entity/Q124373465,Gabriella Turnaturi,1947,female,Naples,POINT (14.248611 40.835833),Southern Europe,Italy,Italy,1971-1995,6780,university-teacher,publisher
http://www.wikidata.org/entity/Q33084660,Alberto Palloni,1949,male,Chile,POINT (-71 -33),South America,Chile,South America,1971-1995,12255,researcher,education
http://www.wikidata.org/entity/Q3310480,Michel Offerlé,1947,male,Rouen,POINT (1.1025 49.443056),Western Europe,France,France,1971-1995,12273,university-teacher,organization
http://www.wikidata.org/entity/Q33120661,Janine Mossuz-Lavau,1942,female,Saint-Jean-de-Tholome,POINT (6.397778 46.111667),Western Europe,France,France,1971-1995,12286,university-teacher,publisher
http://www.wikidata.org/entity/Q33164537,Martine Bungener,1949,female,Paris,POINT (2.352222 48.856667),Western Europe,France,France,1971-1995,12293,economist,publisher
http://www.wikidata.org/entity/Q33109063,Bernard Valade,1942,male,Paris,POINT (2.352222 48.856667),Western Europe,France,France,1971-1995,12277,university-teacher,school
http://www.wikidata.org/entity/Q124389744,Lorenzo Bordogna,1949,male,Como,POINT (9.086139 45.81025),Southern Europe,Italy,Italy,1971-1995,6789,university-teacher,university
http://www.wikidata.org/entity/Q3184128,Josep Vicent Marqués,1943,male,Valencia,POINT (-0.376389 39.47),Southern Europe,Spain,Spain Port.,1971-1995,12121,writer,publisher
http://www.wikidata.org/entity/Q1248569,Richard Faber,1943,male,Ludwigshafen,POINT (8.435278 49.481111),Western Europe,Germany,Germany,1971-1995,6915,university-teacher,publisher
http://www.wikidata.org/entity/Q1247398,Ulf Kadritzke,1943,male,Susz,POINT (19.337222 53.72),Eastern Europe,Poland,Poland,1971-1995,6900,university-teacher,education
http://www.wikidata.org/entity/Q32540740,Alexander Hicks,1946,male,Jersey City,POINT (-74.06 40.71),Northern America,United States,United States Can.,1971-1995,12163,university-teacher,education
http://www.wikidata.org/entity/Q124650383,G. Louis Heath,1944,male,Portola,POINT (-120.469722 39.810278),Northern America,United States,United States Can.,1971-1995,6876,university-teacher,education
http://www.wikidata.org/entity/Q326639,Edmund Wnuk-Lipiński,1944,male,"Sucha, Kuyavian-Pomeranian Voivodeship",POINT (18.00936 53.41507),Eastern Europe,Poland,Poland,1971-1995,12179,university-teacher,education
http://www.wikidata.org/entity/Q3287758,Marc Angenot,1941,male,Brussels,POINT (4.351667 50.846667),Western Europe,Belgium,Belgium Netherl.,1971-1995,12195,university-teacher,education
http://www.wikidata.org/entity/Q454486,Frank Furedi,1947,male,Budapest,POINT (19.040833 47.498333),Eastern Europe,Hungary,Austria Hungary,1971-1995,13273,university-teacher,education
http://www.wikidata.org/entity/Q12260753,Joseba Arregi,1946,male,Andoain,POINT (-2.019888 43.218334),Southern Europe,Spain,Spain Port.,1971-1995,6431,university-teacher,publisher
http://www.wikidata.org/entity/Q4296042,Boris Mironov,1942,male,Marks,POINT (46.75 51.7),European Russia,Russian Federation,Russian Federation,1971-1995,13048,university-teacher,publisher
http://www.wikidata.org/entity/Q43035326,Víctor Urrutia,1945,male,Andosilla,POINT (-1.941944 42.376944),Southern Europe,Spain,Spain Port.,1971-1995,13054,university-teacher,publisher
http://www.wikidata.org/entity/Q4305233,Rastko Močnik,1944,male,Ljubljana,POINT (14.506111 46.051389),Southern Europe,Slovenia,Central Europe,1971-1995,13057,philosopher,publisher
http://www.wikidata.org/entity/Q4312110,Akop Nazaretyan,1948,male,Baku,POINT (49.835183 40.366656),Western Asia,Azerbaijan,Russian Federation,1971-1995,13066,psychologist,education
http://www.wikidata.org/entity/Q432784,Margaret Archer,1943,female,Grenoside,POINT (-1.502 53.441),Northern Europe,United Kingdom,United Kingdom,1971-1995,13072,university-teacher,education
http://www.wikidata.org/entity/Q432851,Sheila Rowbotham,1943,female,Leeds,POINT (-1.543611 53.7975),Northern Europe,United Kingdom,United Kingdom,1971-1995,13074,university-teacher,education
http://www.wikidata.org/entity/Q4336591,Aleksandr Orlov,1949,male,Moscow,POINT (37.6175 55.750556),European Russia,Russian Federation,Russian Federation,1971-1995,13078,economist,publisher
http://www.wikidata.org/entity/Q4352808,Risto Alapuro,1944,male,Ruokolahti,POINT (28.816667 61.291667),Northern Europe,Finland,Baltic States Fin. Belar.,1971-1995,13100,university-teacher,publisher
http://www.wikidata.org/entity/Q11817338,Piotr Buczkowski,1950,male,Szczecin,POINT (14.555278 53.424722),Eastern Europe,Poland,Poland,1971-1995,6028,university-teacher,publisher
http://www.wikidata.org/entity/Q11814554,Paweł Łączkowski,1942,male,Kielce,POINT (20.631945 50.8725),Eastern Europe,Poland,Poland,1971-1995,6024,university-teacher,education
http://www.wikidata.org/entity/Q11837035,Tomasz Goban-Klas,1942,male,Warsaw,POINT (21.011111 52.23),Eastern Europe,Poland,Poland,1971-1995,6051,university-teacher,education
http://www.wikidata.org/entity/Q1201440,Detlev Ipsen,1945,male,Innsbruck,POINT (11.393333 47.268333),Western Europe,Austria,Austria Hungary,1971-1995,6199,university-teacher,university
http://www.wikidata.org/entity/Q1201418,Detlev Claussen,1948,male,Hamburg,POINT (10 53.55),Western Europe,Germany,Germany,1971-1995,6198,university-teacher,university
http://www.wikidata.org/entity/Q1201272,Detlef Horster,1942,male,Krefeld,POINT (6.566667 51.333333),Western Europe,Germany,Germany,1971-1995,6194,university-teacher,university
http://www.wikidata.org/entity/Q4226807,Natalya Kozlova,1946,female,Moscow,POINT (37.6175 55.750556),European Russia,Russian Federation,Russian Federation,1971-1995,12976,philosopher,university
http://www.wikidata.org/entity/Q119703657,Katalin R. Forray,1942,female,Mezőtúr,POINT (20.618055 47.004167),Eastern Europe,Hungary,Austria Hungary,1971-1995,6147,university-teacher,university
