labelPer_x,labelPer_y,periodsActivity_x,periodsActivity_y,sum_edu_empl,sum_all_rel,orgs_number_edu,orgs_labels_edu,orgs_number_empl,orgs_labels_empl,orgs_number_memb,orgs_labels_memb,person_uri_x,person_uri_y
William Julius Wilson,Peter Blau,1971-1995,1946-1970,1,4,0,,1,University of Chicago,3,National Academy of Sciences|American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q111536,http://www.wikidata.org/entity/Q215834
William Julius Wilson,Clifford Geertz,1971-1995,1971-1995,1,4,0,,1,University of Chicago,3,National Academy of Sciences|American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q111536,http://www.wikidata.org/entity/Q310956
William Julius Wilson,Stanley Lieberson,1971-1995,1971-1995,1,4,0,,1,Harvard University,3,National Academy of Sciences|American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q111536,http://www.wikidata.org/entity/Q50882881
William Julius Wilson,Shmuel Eisenstadt,1971-1995,1946-1970,2,5,0,,2,University of Chicago|Harvard University,3,National Academy of Sciences|American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q111536,http://www.wikidata.org/entity/Q677793
William Julius Wilson,Nathan Keyfitz,1971-1995,1946-1970,2,4,0,,2,University of Chicago|Harvard University,2,National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q111536,http://www.wikidata.org/entity/Q6969175
William Julius Wilson,Charles Tilly,1971-1995,1971-1995,1,4,0,,1,Harvard University,3,National Academy of Sciences|American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q111536,http://www.wikidata.org/entity/Q717635
William Julius Wilson,Donald T. Campbell,1971-1995,1946-1970,1,4,0,,1,University of Chicago,3,National Academy of Sciences|American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q111536,http://www.wikidata.org/entity/Q729038
William Julius Wilson,Robert J. Sampson,1971-1995,1996-2020,2,4,0,,2,University of Chicago|Harvard University,2,National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q111536,http://www.wikidata.org/entity/Q749704
Kazimierz Frieske,Paweł Śpiewak,1971-1995,1996-2020,3,4,2,"Faculty of Philosophy and Sociology, University of Warsaw|XLVIII LO im. Dembowskiego in Warsaw",1,University of Warmia and Mazury in Olsztyn,1,Collegium Invisibile,http://www.wikidata.org/entity/Q11737860,http://www.wikidata.org/entity/Q7156231
Claude Lévi-Strauss,James G. March,1946-1970,1971-1995,0,4,0,,0,,4,National Academy of Sciences|Norwegian Academy of Science and Letters|American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q128126,http://www.wikidata.org/entity/Q1352604
Claude Lévi-Strauss,Raymond Aron,1946-1970,1946-1970,2,4,0,,2,École pratique des hautes études|Collège de France,2,American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q128126,http://www.wikidata.org/entity/Q160640
Claude Lévi-Strauss,Fernando Henrique Cardoso,1946-1970,1971-1995,3,4,0,,3,University of São Paulo|School for Advanced Studies in the Social Sciences|Collège de France,1,American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q128126,http://www.wikidata.org/entity/Q230578
